filepath,file,acqDate,acqTime,analysisDate,analysisTime,pntsPerLine,numLines,delx,delt,x1,x2,algorithm,k_numavgs,k_skipamt,k_shiftamt,c_hi,c_lineskip,time,velocity
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.051250,-1.960557
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.102500,-1.773828
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.153750,-1.431851
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.205000,-1.116116
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.256250,-0.859679
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.307500,-0.692876
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.358750,-0.648742
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.410000,-0.722680
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.461250,-0.888279
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.512500,-1.134199
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.563750,-1.391498
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.615000,-1.587255
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.666250,-1.694982
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.717500,-1.641443
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.768750,-1.499942
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.820000,-1.278161
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.871250,-1.075368
exampleData/drew_synthetic.tif,drew_synthetic.tif,,,20221124,12:47:18,64,1024,0.150000,0.002050,5,59,kim,100,25,5,NaN,NaN,0.922500,-0.930051
